RA,Genero,Fase,Defasagem,Pedra,IAN,IDA,IEG,IAA,IPS,IPV,INDE,IPP,AnoRef
46,Feminino,5,-2,Ágata,5.0,2.1,8.4,8.8,6.3,7.083,6.048,6.5625,2022
47,Feminino,5,-2,Quartzo,5.0,2.1,6.3,7.9,7.5,7.042,5.677,7.41875,2022
48,Feminino,5,0,Ametista,10.0,8.1,8.4,6.7,7.5,8.5,8.006,7.7291666666,2022
48,Feminino,5,0,Ametista,10.0,8.1,8.4,6.7,7.5,8.5,8.006,7.65625,2022
48,Feminino,5,0,Ametista,10.0,8.1,8.4,6.7,7.5,8.5,8.006,8.59375,2022
49,Feminino,5,-2,Ágata,5.0,3.9,7.4,7.5,7.5,7.042,6.304,7.5,2022
50,Feminino,5,-3,Ametista,2.5,7.8,8.4,7.5,7.5,7.542,7.138,7.5625,2022
51,Feminino,5,-2,Ágata,5.0,5.0,7.6,8.8,7.5,6.5,6.488,7.5,2022
52,Masculino,5,2,Ametista,10.0,6.2,8.9,9.6,7.5,7.5,7.861,7.53125,2022
52,Masculino,5,2,Ametista,10.0,6.2,8.9,9.6,7.5,7.5,7.861,8.125,2022
52,Masculino,5,2,Ametista,10.0,6.2,8.9,9.6,7.5,7.5,7.861,7.5,2022
53,Masculino,5,-2,Ágata,5.0,7.0,7.0,9.2,7.5,6.458,6.725,7.3125,2022
53,Masculino,5,-2,Ágata,5.0,7.0,7.0,9.2,7.5,6.458,6.725,7.5,2022
54,Feminino,5,-1,Ágata,5.0,4.8,6.9,7.9,7.5,6.125,6.058,7.28125,2022
55,Feminino,5,-1,Ágata,5.0,7.5,7.6,7.1,5.6,6.5,6.576,7.5208333334,2022
55,Feminino,5,-1,Ágata,5.0,7.5,7.6,7.1,5.6,6.5,6.576,7.5,2022
56,Feminino,5,0,Topázio,10.0,7.0,10.0,10.0,7.5,8.25,8.404,8.65625,2022
56,Feminino,5,0,Topázio,10.0,7.0,10.0,10.0,7.5,8.25,8.404,8.125,2022
56,Feminino,5,0,Topázio,10.0,7.0,10.0,10.0,7.5,8.25,8.404,8.4375,2022
57,Masculino,5,-1,Ametista,5.0,8.4,8.1,7.1,5.6,7.875,7.305,7.6125,2022
57,Masculino,5,-1,Ametista,5.0,8.4,8.1,7.1,5.6,7.875,7.305,7.96875,2022
57,Masculino,5,-1,Ametista,5.0,8.4,8.1,7.1,5.6,7.875,7.305,8.59375,2022
58,Masculino,5,0,Topázio,10.0,7.2,9.2,9.6,6.3,8.125,8.136,8.375,2022
58,Masculino,5,0,Topázio,10.0,7.2,9.2,9.6,6.3,8.125,8.136,8.4375,2022
58,Masculino,5,0,Topázio,10.0,7.2,9.2,9.6,6.3,8.125,8.136,9.0625,2022
59,Masculino,5,-2,Ametista,5.0,7.2,9.3,9.2,7.5,7.917,7.642,7.71875,2022
59,Masculino,5,-2,Ametista,5.0,7.2,9.3,9.2,7.5,7.917,7.642,8.28125,2022
60,Feminino,5,-3,Quartzo,2.5,4.9,6.0,6.7,7.5,6.167,5.537,7.1625,2022
61,Masculino,5,0,Ametista,10.0,5.8,7.4,9.2,7.5,7.875,7.533,7.975,2022
61,Masculino,5,0,Ametista,10.0,5.8,7.4,9.2,7.5,7.875,7.533,7.96875,2022
62,Masculino,5,-2,Ametista,5.0,9.3,9.4,8.8,7.5,7.25,7.891,7.5208333334,2022
62,Masculino,5,-2,Ametista,5.0,9.3,9.4,8.8,7.5,7.25,7.891,8.25,2022
63,Masculino,5,-1,Topázio,5.0,8.7,9.1,8.3,8.8,9.417,8.282,8.5729166666,2022
