RA,Genero,Fase,Defasagem,Pedra,IAN,IDA,IEG,IAA,IPS,IPV,INDE,IPP,AnoRef
390,Feminino,2,-1,Ágata,5.0,4.7,8.8,7.4,6.3,7.722,6.776,6.5625,2022
391,Feminino,2,-1,Ametista,5.0,5.1,8.1,10.0,7.5,8.056,7.117,7.6458333332,2022
391,Feminino,2,-1,Ametista,5.0,5.1,8.1,10.0,7.5,8.056,7.117,7.5,2022
392,Masculino,2,-2,Ágata,5.0,4.8,8.8,9.5,5.6,6.778,6.418,7.2604166666,2022
392,Masculino,2,-2,Ágata,5.0,4.8,8.8,9.5,5.6,6.778,6.418,6.09375,2022
392,Masculino,2,-2,Ágata,5.0,4.8,8.8,9.5,5.6,6.778,6.418,3.5,2022
393,Feminino,2,-4,Quartzo,2.5,4.6,5.4,10.0,5.0,6.778,5.518,7.21875,2022
394,Feminino,2,0,Ametista,10.0,5.9,8.6,9.5,7.5,8.444,7.897,6.90625,2022
395,Feminino,2,0,Ametista,10.0,4.9,8.9,9.0,7.5,8.333,7.683,7.34375,2022
395,Feminino,2,0,Ametista,10.0,4.9,8.9,9.0,7.5,8.333,7.683,7.96875,2022
395,Feminino,2,0,Ametista,10.0,4.9,8.9,9.0,7.5,8.333,7.683,7.25,2022
396,Masculino,2,-1,Ágata,5.0,5.6,8.0,9.0,6.3,6.556,6.556,7.229166666599999,2022
397,Feminino,2,-2,Quartzo,5.0,2.8,5.7,9.0,6.9,7.167,5.852,7.14375,2022
397,Feminino,2,-2,Quartzo,5.0,2.8,5.7,9.0,6.9,7.167,5.852,7.1875,2022
397,Feminino,2,-2,Quartzo,5.0,2.8,5.7,9.0,6.9,7.167,5.852,7.625,2022
398,Feminino,2,0,Ametista,10.0,5.5,9.3,9.0,7.5,7.5,7.742,6.9375,2022
398,Feminino,2,0,Ametista,10.0,5.5,9.3,9.0,7.5,7.5,7.742,7.5,2022
398,Feminino,2,0,Ametista,10.0,5.5,9.3,9.0,7.5,7.5,7.742,7.291666667,2022
399,Feminino,2,-1,Ágata,5.0,4.3,9.3,6.8,5.6,7.5,6.58,7.2604166666,2022
399,Feminino,2,-1,Ágata,5.0,4.3,9.3,6.8,5.6,7.5,6.58,7.5,2022
400,Masculino,2,-2,Ágata,5.0,1.7,8.5,9.0,5.0,7.444,6.042,7.7083333334,2022
400,Masculino,2,-2,Ágata,5.0,1.7,8.5,9.0,5.0,7.444,6.042,7.65625,2022
401,Feminino,2,-1,Ágata,5.0,4.3,9.6,6.9,7.5,6.722,6.645,6.5625,2022
401,Feminino,2,-1,Ágata,5.0,4.3,9.6,6.9,7.5,6.722,6.645,7.083333333,2022
401,Feminino,2,-1,Ágata,5.0,4.3,9.6,6.9,7.5,6.722,6.645,6.5625,2022
402,Feminino,2,-1,Quartzo,5.0,3.0,3.7,9.0,5.0,7.222,5.261,7.3,2022
402,Feminino,2,-1,Quartzo,5.0,3.0,3.7,9.0,5.0,7.222,5.261,7.8125,2022
402,Feminino,2,-1,Quartzo,5.0,3.0,3.7,9.0,5.0,7.222,5.261,6.354166667,2022
403,Masculino,2,-1,Ametista,5.0,6.3,9.3,9.5,7.5,7.5,7.455,7.2291666668,2022
403,Masculino,2,-1,Ametista,5.0,6.3,9.3,9.5,7.5,7.5,7.455,7.291666667,2022
403,Masculino,2,-1,Ametista,5.0,6.3,9.3,9.5,7.5,7.5,7.455,8.541666667,2022
404,Feminino,2,-1,Ágata,5.0,5.3,7.3,9.0,7.5,6.944,6.658,6.9166666668,2022
404,Feminino,2,-1,Ágata,5.0,5.3,7.3,9.0,7.5,6.944,6.658,6.875,2022
404,Feminino,2,-1,Ágata,5.0,5.3,7.3,9.0,7.5,6.944,6.658,7.5,2022
405,Masculino,2,-1,Quartzo,5.0,3.3,6.2,9.5,5.0,6.0,5.661,6.083333333400001,2022
406,Feminino,2,-1,Ametista,5.0,6.6,9.5,9.5,7.5,7.333,7.496,7.6354166666,2022
407,Masculino,2,-1,Ametista,5.0,6.0,9.3,8.5,7.5,7.056,7.195,6.9583333334,2022
407,Masculino,2,-1,Ametista,5.0,6.0,9.3,8.5,7.5,7.056,7.195,7.8125,2022
407,Masculino,2,-1,Ametista,5.0,6.0,9.3,8.5,7.5,7.056,7.195,7.96875,2022
408,Feminino,2,-1,Ágata,5.0,3.3,9.7,8.0,7.5,7.333,6.725,6.6041666666,2022
408,Feminino,2,-1,Ágata,5.0,3.3,9.7,8.0,7.5,7.333,6.725,8.333333333,2022
408,Feminino,2,-1,Ágata,5.0,3.3,9.7,8.0,7.5,7.333,6.725,7.083333333,2022
409,Feminino,2,0,Topázio,10.0,7.8,9.7,7.9,7.5,7.5,8.15,7.6354166666,2022
409,Feminino,2,0,Topázio,10.0,7.8,9.7,7.9,7.5,7.5,8.15,7.916666667,2022
409,Feminino,2,0,Topázio,10.0,7.8,9.7,7.9,7.5,7.5,8.15,7.916666667,2022
410,Masculino,2,-2,Quartzo,5.0,2.0,6.5,7.4,6.3,7.444,5.675,5.833333333400001,2022
410,Masculino,2,-2,Quartzo,5.0,2.0,6.5,7.4,6.3,7.444,5.675,6.71875,2022
411,Feminino,2,-1,Ametista,5.0,7.1,8.6,6.4,7.5,7.833,7.232,7.90625,2022
411,Feminino,2,-1,Ametista,5.0,7.1,8.6,6.4,7.5,7.833,7.232,7.8125,2022
411,Feminino,2,-1,Ametista,5.0,7.1,8.6,6.4,7.5,7.833,7.232,7.291666667,2022
412,Feminino,2,-1,Ametista,5.0,7.3,9.0,8.5,7.5,7.778,7.556,8.0625,2022
412,Feminino,2,-1,Ametista,5.0,7.3,9.0,8.5,7.5,7.778,7.556,7.03125,2022
412,Feminino,2,-1,Ametista,5.0,7.3,9.0,8.5,7.5,7.778,7.556,8.020833333,2022
413,Feminino,2,-1,Ágata,5.0,4.7,8.7,6.4,5.6,7.056,6.408,7.28125,2022
413,Feminino,2,-1,Ágata,5.0,4.7,8.7,6.4,5.6,7.056,6.408,7.291666667,2022
414,Feminino,2,-1,Ametista,5.0,5.9,9.3,8.0,7.5,7.667,7.284,7.9479166666,2022
414,Feminino,2,-1,Ametista,5.0,5.9,9.3,8.0,7.5,7.667,7.284,7.8125,2022
414,Feminino,2,-1,Ametista,5.0,5.9,9.3,8.0,7.5,7.667,7.284,6.25,2022
415,Feminino,2,0,Ametista,10.0,6.2,8.3,8.0,7.5,8.056,7.695,7.46875,2022
415,Feminino,2,0,Ametista,10.0,6.2,8.3,8.0,7.5,8.056,7.695,7.8125,2022
416,Masculino,2,-1,Ametista,5.0,7.2,9.3,9.5,8.8,8.222,7.913,7.875,2022
416,Masculino,2,-1,Ametista,5.0,7.2,9.3,9.5,8.8,8.222,7.913,8.28125,2022
416,Masculino,2,-1,Ametista,5.0,7.2,9.3,9.5,8.8,8.222,7.913,8.541666667,2022
417,Feminino,2,-1,Topázio,5.0,8.0,10.0,10.0,7.5,9.556,8.428,7.78125,2022
417,Feminino,2,-1,Topázio,5.0,8.0,10.0,10.0,7.5,9.556,8.428,8.28125,2022
417,Feminino,2,-1,Topázio,5.0,8.0,10.0,10.0,7.5,9.556,8.428,8.4375,2022
418,Feminino,2,0,Topázio,10.0,7.5,9.4,8.0,7.5,8.222,8.175,8.1041666666,2022
418,Feminino,2,0,Topázio,10.0,7.5,9.4,8.0,7.5,8.222,8.175,8.125,2022
418,Feminino,2,0,Topázio,10.0,7.5,9.4,8.0,7.5,8.222,8.175,8.229166667,2022
419,Feminino,2,-1,Ametista,5.0,6.9,9.2,7.5,5.6,8.389,7.359,7.989583333200001,2022
419,Feminino,2,-1,Ametista,5.0,6.9,9.2,7.5,5.6,8.389,7.359,8.125,2022
419,Feminino,2,-1,Ametista,5.0,6.9,9.2,7.5,5.6,8.389,7.359,8.020833333,2022
420,Feminino,2,0,Ametista,10.0,4.5,9.0,9.5,5.6,8.0,7.461,7.8125,2022
420,Feminino,2,0,Ametista,10.0,4.5,9.0,9.5,5.6,8.0,7.461,7.65625,2022
420,Feminino,2,0,Ametista,10.0,4.5,9.0,9.5,5.6,8.0,7.461,7.8125,2022
421,Masculino,2,0,Topázio,10.0,8.8,9.3,8.5,7.5,9.111,8.717,8.1145833334,2022
421,Masculino,2,0,Topázio,10.0,8.8,9.3,8.5,7.5,9.111,8.717,7.8125,2022
421,Masculino,2,0,Topázio,10.0,8.8,9.3,8.5,7.5,9.111,8.717,9.0625,2022
422,Masculino,2,-1,Ágata,5.0,2.5,10.0,8.5,7.5,7.5,6.746,7.041666666599999,2022
422,Masculino,2,-1,Ágata,5.0,2.5,10.0,8.5,7.5,7.5,6.746,6.666666667,2022
422,Masculino,2,-1,Ágata,5.0,2.5,10.0,8.5,7.5,7.5,6.746,6.458333333,2022
423,Feminino,2,-1,Ágata,5.0,2.3,9.6,8.4,7.5,7.667,6.647,7.1666666666,2022
423,Feminino,2,-1,Ágata,5.0,2.3,9.6,8.4,7.5,7.667,6.647,7.083333333,2022
423,Feminino,2,-1,Ágata,5.0,2.3,9.6,8.4,7.5,7.667,6.647,6.875,2022
424,Feminino,2,-1,Ametista,5.0,7.5,10.0,9.0,7.5,8.222,7.94,7.9479166666,2022
424,Feminino,2,-1,Ametista,5.0,7.5,10.0,9.0,7.5,8.222,7.94,7.8125,2022
424,Feminino,2,-1,Ametista,5.0,7.5,10.0,9.0,7.5,8.222,7.94,7.34375,2022
425,Masculino,2,-1,Topázio,5.0,9.0,10.0,9.0,7.5,7.5,8.117,8.1249999998,2022
425,Masculino,2,-1,Topázio,5.0,9.0,10.0,9.0,7.5,7.5,8.117,7.8125,2022
425,Masculino,2,-1,Topázio,5.0,9.0,10.0,9.0,7.5,7.5,8.117,8.229166667,2022
426,Feminino,2,-2,Ágata,5.0,4.6,6.5,9.0,7.5,7.111,6.35,7.09375,2022
426,Feminino,2,-2,Ágata,5.0,4.6,6.5,9.0,7.5,7.111,6.35,7.65625,2022
426,Feminino,2,-2,Ágata,5.0,4.6,6.5,9.0,7.5,7.111,6.35,7.65625,2022
427,Masculino,2,-1,Ágata,5.0,2.5,8.5,8.0,7.5,6.778,6.245,6.6458333332,2022
428,Masculino,2,-1,Ametista,5.0,9.5,8.7,6.8,7.5,7.111,7.683,7.2916666666,2022
428,Masculino,2,-1,Ametista,5.0,9.5,8.7,6.8,7.5,7.111,7.683,7.8125,2022
428,Masculino,2,-1,Ametista,5.0,9.5,8.7,6.8,7.5,7.111,7.683,7.5,2022
429,Masculino,2,-1,Quartzo,5.0,2.7,5.3,10.0,7.5,6.611,5.811,6.875,2022
430,Masculino,2,-1,Ametista,5.0,8.5,8.6,9.5,7.5,6.611,7.585,6.520833333400001,2022
430,Masculino,2,-1,Ametista,5.0,8.5,8.6,9.5,7.5,6.611,7.585,7.8125,2022
431,Masculino,2,0,Ametista,10.0,4.5,8.1,9.0,7.5,6.778,7.175,7.3229166666,2022
432,Feminino,2,-2,Ágata,5.0,5.1,6.8,10.0,5.0,6.611,6.34,6.833333333400001,2022
432,Feminino,2,-2,Ágata,5.0,5.1,6.8,10.0,5.0,6.611,6.34,7.8125,2022
432,Feminino,2,-2,Ágata,5.0,5.1,6.8,10.0,5.0,6.611,6.34,7.34375,2022
433,Masculino,2,-1,Quartzo,5.0,2.6,7.3,8.5,5.0,5.778,5.557,6.083333333400001,2022
433,Masculino,2,-1,Quartzo,5.0,2.6,7.3,8.5,5.0,5.778,5.557,5.833333333,2022
433,Masculino,2,-1,Quartzo,5.0,2.6,7.3,8.5,5.0,5.778,5.557,6.875,2022
434,Masculino,2,0,Ametista,10.0,5.7,8.1,9.0,7.5,6.778,7.403,7.0833333332,2022
434,Masculino,2,0,Ametista,10.0,5.7,8.1,9.0,7.5,6.778,7.403,7.5,2022
434,Masculino,2,0,Ametista,10.0,5.7,8.1,9.0,7.5,6.778,7.403,7.291666667,2022
435,Feminino,2,0,Ágata,10.0,4.7,6.2,7.9,7.5,6.444,6.599,6.9895833334,2022
436,Masculino,2,0,Ágata,10.0,2.0,8.1,9.5,7.5,6.611,6.687,6.166666666599999,2022
436,Masculino,2,0,Ágata,10.0,2.0,8.1,9.5,7.5,6.611,6.687,6.875,2022
437,Masculino,2,-1,Ágata,5.0,5.8,8.3,8.5,7.5,6.611,6.875,6.729166666599999,2022
437,Masculino,2,-1,Ágata,5.0,5.8,8.3,8.5,7.5,6.611,6.875,7.291666667,2022
438,Masculino,2,0,Ametista,10.0,7.3,8.7,8.0,7.5,6.889,7.764,7.3333333332,2022
438,Masculino,2,0,Ametista,10.0,7.3,8.7,8.0,7.5,6.889,7.764,6.458333333,2022
438,Masculino,2,0,Ametista,10.0,7.3,8.7,8.0,7.5,6.889,7.764,7.96875,2022
439,Masculino,2,-1,Quartzo,5.0,2.3,4.9,9.0,7.5,6.5,5.519,6.875,2022
440,Masculino,2,0,Ametista,10.0,5.5,9.0,9.5,6.9,5.833,7.329,6.6666666666,2022
440,Masculino,2,0,Ametista,10.0,5.5,9.0,9.5,6.9,5.833,7.329,7.96875,2022
441,Feminino,2,0,Topázio,10.0,8.0,7.9,9.0,7.5,8.333,8.188,7.9583333334,2022
442,Feminino,2,0,Topázio,10.0,7.5,8.2,10.0,7.5,8.222,8.226,7.7916666666,2022
442,Feminino,2,0,Topázio,10.0,7.5,8.2,10.0,7.5,8.222,8.226,7.5,2022
442,Feminino,2,0,Topázio,10.0,7.5,8.2,10.0,7.5,8.222,8.226,7.5,2022
443,Feminino,2,-1,Ametista,5.0,5.6,9.1,9.0,7.5,8.5,7.482,7.90625,2022
443,Feminino,2,-1,Ametista,5.0,5.6,9.1,9.0,7.5,8.5,7.482,7.96875,2022
444,Masculino,2,0,Ágata,10.0,3.1,7.2,9.0,5.0,7.778,6.665,6.635416666599999,2022
444,Masculino,2,0,Ágata,10.0,3.1,7.2,9.0,5.0,7.778,6.665,6.40625,2022
444,Masculino,2,0,Ágata,10.0,3.1,7.2,9.0,5.0,7.778,6.665,6.25,2022
445,Masculino,2,-1,Ágata,5.0,3.8,9.4,9.0,7.5,7.5,6.924,6.6666666666,2022
445,Masculino,2,-1,Ágata,5.0,3.8,9.4,9.0,7.5,7.5,6.924,8.541666667,2022
445,Masculino,2,-1,Ágata,5.0,3.8,9.4,9.0,7.5,7.5,6.924,7.8125,2022
446,Feminino,2,-1,Ametista,5.0,6.9,8.9,9.5,5.0,7.889,7.367,7.375,2022
447,Feminino,2,0,Quartzo,10.0,3.5,7.0,0.0,7.5,5.556,5.607,7.46875,2022
448,Feminino,2,0,Ametista,10.0,5.5,9.7,9.0,7.5,8.111,7.972,6.9375,2022
449,Feminino,2,-1,Ágata,5.0,7.0,6.0,0.0,7.5,8.111,6.143,7.8958333334,2022
449,Feminino,2,-1,Ágata,5.0,7.0,6.0,0.0,7.5,8.111,6.143,7.34375,2022
450,Masculino,2,-1,Ametista,5.0,7.5,9.1,10.0,7.5,8.111,7.843,8.0833333334,2022
450,Masculino,2,-1,Ametista,5.0,7.5,9.1,10.0,7.5,8.111,7.843,7.65625,2022
450,Masculino,2,-1,Ametista,5.0,7.5,9.1,10.0,7.5,8.111,7.843,7.8125,2022
451,Feminino,2,-1,Ágata,5.0,6.1,6.0,9.0,6.3,6.889,6.434,7.3750000002,2022
451,Feminino,2,-1,Ágata,5.0,6.1,6.0,9.0,6.3,6.889,6.434,9.375,2022
452,Feminino,2,-1,Ágata,5.0,4.8,5.6,9.0,7.5,7.167,6.287,7.5625000002,2022
453,Feminino,2,-1,Ametista,5.0,8.8,8.7,9.0,7.5,7.778,7.845,8.0208333334,2022
454,Masculino,2,-2,Quartzo,5.0,2.3,8.6,9.5,5.0,5.444,5.561,6.0625,2022
454,Masculino,2,-2,Quartzo,5.0,2.3,8.6,9.5,5.0,5.444,5.561,4.6875,2022
454,Masculino,2,-2,Quartzo,5.0,2.3,8.6,9.5,5.0,5.444,5.561,5.416666667,2022
455,Feminino,2,-1,Ágata,5.0,6.3,7.9,7.0,7.5,7.278,6.876,7.3020833334,2022
455,Feminino,2,-1,Ágata,5.0,6.3,7.9,7.0,7.5,7.278,6.876,8.333333333,2022
456,Feminino,2,-1,Ametista,5.0,7.3,8.2,6.4,6.3,8.389,7.193,8.0729166666,2022
456,Feminino,2,-1,Ametista,5.0,7.3,8.2,6.4,6.3,8.389,7.193,9.583333333,2022
456,Feminino,2,-1,Ametista,5.0,7.3,8.2,6.4,6.3,8.389,7.193,9.166666667,2022
457,Feminino,2,-1,Ametista,5.0,8.5,8.8,8.0,7.5,7.667,7.68,7.7083333334,2022
457,Feminino,2,-1,Ametista,5.0,8.5,8.8,8.0,7.5,7.667,7.68,8.125,2022
457,Feminino,2,-1,Ametista,5.0,8.5,8.8,8.0,7.5,7.667,7.68,9.6875,2022
458,Masculino,2,-1,Ágata,5.0,5.6,7.7,8.0,7.5,5.833,6.512,6.71875,2022
458,Masculino,2,-1,Ágata,5.0,5.6,7.7,8.0,7.5,5.833,6.512,7.1875,2022
458,Masculino,2,-1,Ágata,5.0,5.6,7.7,8.0,7.5,5.833,6.512,7.03125,2022
459,Masculino,2,-1,Ametista,5.0,7.3,9.1,7.0,8.1,7.222,7.28,6.708333333400001,2022
459,Masculino,2,-1,Ametista,5.0,7.3,9.1,7.0,8.1,7.222,7.28,7.1875,2022
459,Masculino,2,-1,Ametista,5.0,7.3,9.1,7.0,8.1,7.222,7.28,7.8125,2022
460,Masculino,2,-1,Quartzo,5.0,3.3,8.1,6.8,7.5,5.056,5.711,6.3854166668,2022
461,Feminino,2,-1,Quartzo,5.0,3.8,6.7,0.0,7.5,7.222,5.451,7.28125,2022
461,Feminino,2,-1,Quartzo,5.0,3.8,6.7,0.0,7.5,7.222,5.451,8.541666667,2022
461,Feminino,2,-1,Quartzo,5.0,3.8,6.7,0.0,7.5,7.222,5.451,7.708333333,2022
462,Masculino,2,-2,Ágata,5.0,3.6,8.5,10.0,7.5,6.778,6.626,6.8333333334,2022
462,Masculino,2,-2,Ágata,5.0,3.6,8.5,10.0,7.5,6.778,6.626,7.5,2022
463,Feminino,2,-1,Ágata,5.0,2.5,7.8,10.0,7.5,7.389,6.41,7.1666666666,2022
463,Feminino,2,-1,Ágata,5.0,2.5,7.8,10.0,7.5,7.389,6.41,7.8125,2022
464,Feminino,2,-1,Ágata,5.0,4.8,8.0,7.5,7.5,7.722,6.745,7.4479166666,2022
464,Feminino,2,-1,Ágata,5.0,4.8,8.0,7.5,7.5,7.722,6.745,7.96875,2022
464,Feminino,2,-1,Ágata,5.0,4.8,8.0,7.5,7.5,7.722,6.745,7.1875,2022
465,Masculino,2,0,Ametista,10.0,7.8,7.9,8.0,7.5,8.444,8.012,7.40625,2022
465,Masculino,2,0,Ametista,10.0,7.8,7.9,8.0,7.5,8.444,8.012,7.96875,2022
466,Masculino,2,-1,Ágata,5.0,3.3,9.7,8.5,7.5,7.556,6.826,6.7916666666,2022
466,Masculino,2,-1,Ágata,5.0,3.3,9.7,8.5,7.5,7.556,6.826,6.25,2022
466,Masculino,2,-1,Ágata,5.0,3.3,9.7,8.5,7.5,7.556,6.826,7.5,2022
467,Feminino,2,-1,Ágata,5.0,5.5,8.4,5.8,5.0,7.111,6.38,7.3020833334,2022
467,Feminino,2,-1,Ágata,5.0,5.5,8.4,5.8,5.0,7.111,6.38,7.1875,2022
467,Feminino,2,-1,Ágata,5.0,5.5,8.4,5.8,5.0,7.111,6.38,7.34375,2022
468,Masculino,2,-1,Ágata,5.0,4.1,6.7,9.5,7.5,6.722,6.313,6.8958333332,2022
468,Masculino,2,-1,Ágata,5.0,4.1,6.7,9.5,7.5,6.722,6.313,7.34375,2022
469,Feminino,2,0,Ametista,10.0,5.7,9.6,9.0,5.0,7.833,7.624,7.78125,2022
469,Feminino,2,0,Ametista,10.0,5.7,9.6,9.0,5.0,7.833,7.624,7.916666667,2022
469,Feminino,2,0,Ametista,10.0,5.7,9.6,9.0,5.0,7.833,7.624,7.291666667,2022
470,Feminino,2,-1,Ametista,5.0,6.3,9.7,8.0,7.5,7.5,7.378,7.9479166666,2022
470,Feminino,2,-1,Ametista,5.0,6.3,9.7,8.0,7.5,7.5,7.378,7.5,2022
470,Feminino,2,-1,Ametista,5.0,6.3,9.7,8.0,7.5,7.5,7.378,7.03125,2022
471,Feminino,2,-1,Ágata,5.0,6.3,8.5,3.5,5.0,8.056,6.535,7.635416666599999,2022
471,Feminino,2,-1,Ágata,5.0,6.3,8.5,3.5,5.0,8.056,6.535,7.96875,2022
471,Feminino,2,-1,Ágata,5.0,6.3,8.5,3.5,5.0,8.056,6.535,7.708333333,2022
472,Feminino,2,-1,Quartzo,5.0,2.0,7.0,9.0,7.5,7.056,5.93,7.3625,2022
472,Feminino,2,-1,Quartzo,5.0,2.0,7.0,9.0,7.5,7.056,5.93,7.708333333,2022
472,Feminino,2,-1,Quartzo,5.0,2.0,7.0,9.0,7.5,7.056,5.93,6.25,2022
473,Masculino,2,-1,Quartzo,5.0,4.3,6.1,8.0,7.5,5.889,5.915,6.729166666599999,2022
474,Masculino,2,-1,Ágata,5.0,3.0,9.1,9.5,7.5,6.0,6.446,6.7083333332,2022
474,Masculino,2,-1,Ágata,5.0,3.0,9.1,9.5,7.5,6.0,6.446,7.1875,2022
474,Masculino,2,-1,Ágata,5.0,3.0,9.1,9.5,7.5,6.0,6.446,7.1875,2022
475,Feminino,2,-1,Ametista,5.0,5.8,9.2,8.5,7.5,7.667,7.199,7.9479166666,2022
476,Feminino,2,-1,Ágata,5.0,5.5,9.3,9.0,4.4,7.556,6.931,7.3020833334,2022
476,Feminino,2,-1,Ágata,5.0,5.5,9.3,9.0,4.4,7.556,6.931,7.34375,2022
476,Feminino,2,-1,Ágata,5.0,5.5,9.3,9.0,4.4,7.556,6.931,6.25,2022
477,Masculino,2,-1,Quartzo,5.0,0.7,5.0,0.0,5.6,4.5,3.633,6.2020833334,2022
478,Feminino,2,-1,Ágata,5.0,4.9,9.1,8.5,5.6,7.056,6.709,6.729166666599999,2022
478,Feminino,2,-1,Ágata,5.0,4.9,9.1,8.5,5.6,7.056,6.709,7.1875,2022
479,Masculino,1,-1,Topázio,5.0,9.8,9.2,8.0,7.5,9.5,8.465,9.0208333334,2022
479,Masculino,1,-1,Topázio,5.0,9.8,9.2,8.0,7.5,9.5,8.465,9.791666667,2022
479,Masculino,1,-1,Topázio,5.0,9.8,9.2,8.0,7.5,9.5,8.465,9.375,2022
480,Feminino,1,-1,Ametista,5.0,6.3,8.8,9.0,7.5,8.444,7.502,8.1041666666,2022
480,Feminino,1,-1,Ametista,5.0,6.3,8.8,9.0,7.5,8.444,7.502,7.96875,2022
480,Feminino,1,-1,Ametista,5.0,6.3,8.8,9.0,7.5,8.444,7.502,7.8125,2022
481,Masculino,1,0,Ametista,10.0,5.2,8.0,9.0,7.5,6.889,7.21,6.8333333332,2022
482,Masculino,1,-1,Ágata,5.0,5.5,7.9,10.0,7.5,6.833,6.866,6.604166666599999,2022
483,Feminino,1,-1,Quartzo,5.0,2.4,4.8,9.0,5.0,6.833,5.263,7.5916666666,2022
483,Feminino,1,-1,Quartzo,5.0,2.4,4.8,9.0,5.0,6.833,5.263,7.916666667,2022
483,Feminino,1,-1,Quartzo,5.0,2.4,4.8,9.0,5.0,6.833,5.263,8.125,2022
484,Masculino,1,-1,Ágata,5.0,6.5,8.7,9.5,5.0,6.389,6.71,6.4479166666,2022
484,Masculino,1,-1,Ágata,5.0,6.5,8.7,9.5,5.0,6.389,6.71,5.416666667,2022
484,Masculino,1,-1,Ágata,5.0,6.5,8.7,9.5,5.0,6.389,6.71,3.4375,2022
485,Masculino,1,-1,Quartzo,5.0,1.2,4.0,9.5,7.5,5.444,4.742,6.8270833334,2022
486,Feminino,1,-1,Ametista,5.0,7.3,9.9,10.0,7.5,7.222,7.621,7.59375,2022
486,Feminino,1,-1,Ametista,5.0,7.3,9.9,10.0,7.5,7.222,7.621,7.5,2022
487,Feminino,1,-1,Topázio,5.0,9.6,9.7,7.5,7.5,9.333,8.417,8.6875,2022
487,Feminino,1,-1,Topázio,5.0,9.6,9.7,7.5,7.5,9.333,8.417,9.166666667,2022
487,Feminino,1,-1,Topázio,5.0,9.6,9.7,7.5,7.5,9.333,8.417,9.0625,2022
488,Feminino,1,-1,Ametista,5.0,7.3,8.8,8.5,7.5,7.722,7.413,8.0729166666,2022
489,Feminino,1,0,Quartzo,10.0,0.0,7.2,9.0,7.5,6.5,5.853,7.59375,2022
490,Feminino,1,-1,Ametista,5.0,7.7,8.2,7.9,7.5,8.722,7.576,8.34375,2022
490,Feminino,1,-1,Ametista,5.0,7.7,8.2,7.9,7.5,8.722,7.576,8.541666667,2022
490,Feminino,1,-1,Ametista,5.0,7.7,8.2,7.9,7.5,8.722,7.576,7.8125,2022
491,Masculino,1,-1,Ametista,5.0,7.0,9.7,7.5,7.5,7.722,7.461,7.2916666666,2022
491,Masculino,1,-1,Ametista,5.0,7.0,9.7,7.5,7.5,7.722,7.461,7.708333333,2022
491,Masculino,1,-1,Ametista,5.0,7.0,9.7,7.5,7.5,7.722,7.461,7.083333333,2022
492,Feminino,1,-1,Ametista,5.0,7.1,8.8,10.0,7.5,8.278,7.678,7.9166666666,2022
493,Feminino,1,0,Topázio,10.0,7.2,9.4,10.0,7.5,8.278,8.306,8.1041666666,2022
493,Feminino,1,0,Topázio,10.0,7.2,9.4,10.0,7.5,8.278,8.306,8.541666667,2022
493,Feminino,1,0,Topázio,10.0,7.2,9.4,10.0,7.5,8.278,8.306,7.03125,2022
494,Feminino,1,-1,Ágata,5.0,5.8,8.3,6.4,5.0,6.944,6.407,6.8645833334,2022
494,Feminino,1,-1,Ágata,5.0,5.8,8.3,6.4,5.0,6.944,6.407,7.708333333,2022
494,Feminino,1,-1,Ágata,5.0,5.8,8.3,6.4,5.0,6.944,6.407,7.8125,2022
495,Masculino,1,-1,Ametista,5.0,8.4,8.9,9.0,7.5,8.056,7.857,7.2916666666,2022
495,Masculino,1,-1,Ametista,5.0,8.4,8.9,9.0,7.5,8.056,7.857,8.541666667,2022
496,Masculino,1,-1,Ágata,5.0,5.7,6.8,8.5,7.5,7.556,6.683,6.875,2022
496,Masculino,1,-1,Ágata,5.0,5.7,6.8,8.5,7.5,7.556,6.683,7.916666667,2022
496,Masculino,1,-1,Ágata,5.0,5.7,6.8,8.5,7.5,7.556,6.683,6.71875,2022
497,Feminino,1,-2,Ágata,5.0,5.1,9.2,6.9,5.0,5.833,6.323,6.25,2022
497,Feminino,1,-2,Ágata,5.0,5.1,9.2,6.9,5.0,5.833,6.323,6.25,2022
497,Feminino,1,-2,Ágata,5.0,5.1,9.2,6.9,5.0,5.833,6.323,5.625,2022
498,Feminino,1,-1,Ametista,5.0,8.8,8.8,8.5,7.5,7.556,7.7,7.75,2022
499,Masculino,1,-1,Ametista,5.0,8.2,10.0,8.5,7.5,7.444,7.826,6.125,2022
499,Masculino,1,-1,Ametista,5.0,8.2,10.0,8.5,7.5,7.444,7.826,8.75,2022
499,Masculino,1,-1,Ametista,5.0,8.2,10.0,8.5,7.5,7.444,7.826,7.1875,2022
500,Feminino,1,-1,Topázio,5.0,9.5,10.0,9.0,7.5,7.889,8.232,8.1354166666,2022
500,Feminino,1,-1,Topázio,5.0,9.5,10.0,9.0,7.5,7.889,8.232,8.958333333,2022
500,Feminino,1,-1,Topázio,5.0,9.5,10.0,9.0,7.5,7.889,8.232,8.59375,2022
501,Masculino,1,0,Ametista,10.0,6.8,8.8,8.5,7.5,7.333,7.794,6.3645833332,2022
501,Masculino,1,0,Ametista,10.0,6.8,8.8,8.5,7.5,7.333,7.794,8.541666667,2022
501,Masculino,1,0,Ametista,10.0,6.8,8.8,8.5,7.5,7.333,7.794,8.4375,2022
502,Feminino,1,1,Topázio,10.0,7.4,9.7,9.5,7.5,7.778,8.287,7.7291666666,2022
